Timestamp,Service Units
2024-12-10 14:20:00,3.0
2024-12-10 14:21:00,3.0
2024-12-10 14:22:00,3.0
2024-12-10 14:23:00,3.0
2024-12-10 14:24:00,3.0
2024-12-10 14:25:00,3.0
2024-12-10 14:26:00,3.0
2024-12-10 14:27:00,3.0
2024-12-10 14:28:00,3.0
2024-12-10 14:29:00,3.0
2024-12-10 14:30:00,3.0
2024-12-10 14:31:00,3.0
2024-12-10 14:32:00,3.0
2024-12-10 14:33:00,3.0
2024-12-10 14:34:00,3.0
2024-12-10 14:35:00,3.0
2024-12-10 14:36:00,3.0
2024-12-10 14:37:00,3.0
2024-12-10 14:38:00,3.0
2024-12-10 14:39:00,3.0
2024-12-10 14:40:00,3.0
2024-12-10 14:41:00,3.0
2024-12-10 14:42:00,3.0
2024-12-10 14:43:00,3.0
2024-12-10 14:44:00,3.0
2024-12-10 14:45:00,3.0
2024-12-10 14:46:00,3.0
2024-12-10 14:47:00,3.0
2024-12-10 14:48:00,3.0
2024-12-10 14:49:00,3.0
2024-12-10 14:50:00,3.0
2024-12-10 14:51:00,3.0
2024-12-10 14:52:00,3.0
2024-12-10 14:53:00,3.0
2024-12-10 14:54:00,3.0
2024-12-10 14:55:00,3.0
2024-12-10 14:56:00,3.0
2024-12-10 14:57:00,3.0
2024-12-10 14:58:00,3.0
2024-12-10 14:59:00,3.0
2024-12-10 15:00:00,3.0
2024-12-10 15:01:00,3.0
2024-12-10 15:02:00,3.0
2024-12-10 15:03:00,3.0
2024-12-10 15:04:00,3.0
2024-12-10 15:05:00,3.0
2024-12-10 15:06:00,3.0
2024-12-10 15:07:00,3.0
2024-12-10 15:08:00,3.0
2024-12-10 15:09:00,3.0
2024-12-10 15:10:00,3.0
2024-12-10 15:11:00,3.0
2024-12-10 15:12:00,3.0
2024-12-10 15:13:00,3.0
2024-12-10 15:14:00,3.0
2024-12-10 15:15:00,3.0
2024-12-10 15:16:00,3.0
2024-12-10 15:17:00,3.0
2024-12-10 15:18:00,3.0
2024-12-10 15:19:00,3.0
2024-12-10 15:20:00,3.0
